family	elements	frames
Alu	FLA,AluSp	FLA:100:37,AluSp:155:2
ERV1	LTR26C,MER4BI,HARLEQUIN,LTR25-int,HERV38I,LTR43_I,PRIMA4_I,LTR37A,LTR76,LTR12B,HERV18,LTR9C,HERVS71,MER50B,HERVI,HERVR,MER52B,MER83BI,PABL_BI,LTR19A,HERVH,HERV52I,HERV57I,MER101_I,MER57E1,LTR6B,MER57A_I,HERV4_I,LTR45,HERVG25,MER4A1_LTR,LTR10B,MER110I,HERV15I,LTR1A1,MER61I,MER50I,LTR12D,LTR15,MER57I,MER65C,PRIMA41,HUERS-P2,MER34-int,HERV46I,MER41I,HERVFH21I,MER101B,MER4E,MER87B,HERVE,LTR37-int,LTR12C,MER89I,MER51B,LTR25,PRIMAX_I,HERVIP10FH,LTR1D,LTR78B,PRIMA4_LTR,LOR1I,MER65I,PABL_AI,MER31A,MER52C,MER31_I,HERV17,HERV9,LTR9,LTR1D1,HERV30I,LTR12,MER39,LTR70,LTR8A,LTR1E,HERV3,LTR2B,HERVIP10F,MER34C2,MER4E1,LTR1,MER48,ERV24_Prim,MER39B,HUERS-P1,HERV19I,HERVH48I,LTR19C,LTR39,MER51I,HERV39,MER52A,LTR1B1,HERV23,HUERS-P3B,HERV35I,HERV49I,HERV16,MER4I,MER65D,LTR28B,ERV24B_Prim,LTR2C,MER34B_I,MER66_I,LTR58,HUERS-P3,MER84I,LTR26E,MER83AI,HERVP71A_I,LTR27E,MER52D,HERVFH19I,LTR65,MER52AI,LTR45B,LTR12E,LTR27B	LTR26C:238:496,MER4BI:3576:3417,HARLEQUIN:4187:4673,HARLEQUIN:4806:5256,HARLEQUIN:5699:5780,HARLEQUIN:4832:4682,HARLEQUIN:1801:1675,LTR25-int:3925:4033,LTR25-int:4540:4606,LTR25-int:5662:5797,LTR25-int:6952:7123,LTR25-int:6783:6717,HERV38I:1454:1583,LTR43_I:2820:3021,LTR43_I:3087:3222,LTR43_I:4292:4565,LTR43_I:658:577,PRIMA4_I:1204:2539,PRIMA4_I:2731:6325,PRIMA4_I:3438:3582,PRIMA4_I:6513:7908,PRIMA4_I:6846:6756,PRIMA4_I:6124:5857,PRIMA4_I:161:2,LTR37A:22:121,LTR76:176:2,LTR12B:573:342,HERV18:1823:3512,HERV18:3968:3725,LTR9C:382:571,HERVS71:4518:7053,HERVS71:6292:6214,HERVS71:3993:3768,HERVS71:2055:1980,HERVS71:190:25,MER50B:362:518,HERVI:6837:6951,HERVI:842:650,HERVI:288:186,HERVR:2211:5610,HERVR:2419:2542,HERVR:5679:7368,HERVR:6671:6551,HERVR:3622:3496,MER52B:1242:1338,MER83BI:999:1341,MER83BI:3609:3873,MER83BI:4848:4617,PABL_BI:1302:1428,PABL_BI:3811:4345,PABL_BI:5521:6091,PABL_BI:6236:6347,LTR19A:131:167,HERVH:3282:3837,HERVH:4534:4630,HERVH:6642:6573,HERVH:3834:3765,HERVH:3374:3236,HERVH:302:164,HERV52I:2939:3464,HERV52I:858:801,HERV57I:2693:3581,HERV57I:3441:3699,HERV57I:4578:4461,MER101_I:2080:2146,MER101_I:2915:3065,MER101_I:4942:5041,MER101_I:4855:4747,MER57E1:165:195,MER57E1:256:346,LTR6B:4:94,LTR6B:193:256,MER57A_I:3243:3309,MER57A_I:3959:4268,MER57A_I:4420:4579,MER57A_I:5007:5385,MER57A_I:4362:4224,MER57A_I:2020:1900,HERV4_I:955:2506,HERV4_I:2258:2474,HERV4_I:2590:6052,HERV4_I:6503:6455,HERV4_I:5985:5835,LTR45:474:366,HERVG25:475:643,HERVG25:2599:2434,HERVG25:1095:1035,MER4A1_LTR:231:144,LTR10B:510:306,MER110I:1235:1124,HERV15I:5418:5709,HERV15I:6131:5909,HERV15I:5591:5483,LTR1A1:382:1,MER61I:4175:4217,MER61I:2588:2498,MER61I:332:2,MER50I:4069:4147,MER50I:6023:6290,MER50I:5631:5592,MER50I:1186:1090,LTR12D:913:955,LTR12D:1211:1040,LTR12D:1168:658,LTR15:350:476,MER57I:497:701,MER57I:6517:6712,MER57I:2860:2710,MER65C:305:239,PRIMA41:2948:3101,PRIMA41:4519:5785,PRIMA41:5619:5415,PRIMA41:4657:4567,PRIMA41:3745:3574,PRIMA41:3636:3423,PRIMA41:3177:2883,HUERS-P2:1872:2067,HUERS-P2:687:483,MER34-int:310:439,MER34-int:3081:3438,MER34-int:7725:8205,MER34-int:6340:6253,MER34-int:5609:5489,MER34-int:4673:4535,HERV46I:4447:4546,MER41I:1429:1573,MER41I:3300:3078,HERVFH21I:344:1262,HERVFH21I:2291:3089,HERVFH21I:4943:5570,HERVFH21I:6252:6516,HERVFH21I:6387:6129,HERVFH21I:337:157,MER101B:31:406,MER4E:586:748,MER4E:608:440,MER87B:272:344,HERVE:1527:1878,HERVE:1884:2151,HERVE:5419:5476,HERVE:5737:7021,HERVE:2745:2556,HERVE:1879:1765,HERVE:1128:942,LTR37-int:83:152,LTR37-int:3093:3027,LTR37-int:1885:1843,LTR12C:1261:1303,LTR12C:1534:1465,LTR12C:1455:1401,LTR12C:541:406,MER89I:5291:5426,MER51B:201:366,LTR25:339:399,PRIMAX_I:3126:3525,HERVIP10FH:3607:5101,HERVIP10FH:4953:4692,HERVIP10FH:1925:1799,HERVIP10FH:770:599,LTR1D:237:69,LTR78B:1250:1130,LTR78B:376:82,PRIMA4_LTR:121:205,PRIMA4_LTR:282:189,LOR1I:2175:2079,MER65I:1923:1992,PABL_AI:31:436,PABL_AI:4896:5013,PABL_AI:4298:4235,MER31A:269:425,MER52C:598:883,MER31_I:4826:4916,HERV17:1913:3140,HERV17:3669:6909,HERV17:6939:8565,HERV9:3456:3858,HERV9:6850:7087,HERV9:7296:7443,HERV9:7712:8285,HERV9:7974:8076,LTR9:98:29,LTR1D1:184:1,HERV30I:346:835,HERV30I:1604:1769,HERV30I:3081:3471,HERV30I:3572:3725,HERV30I:4057:4813,LTR12:773:602,LTR12:730:499,MER39:31:241,MER39:496:586,LTR70:496:685,LTR70:754:1012,LTR8A:476:380,LTR1E:346:436,LTR1E:389:2,HERV3:4128:4401,HERV3:4297:4420,HERV3:5153:6053,HERV3:7580:7637,HERV3:8259:7980,HERV3:7352:7268,HERV3:4581:4497,HERV3:4426:4384,HERV3:981:918,LTR2B:190:355,HERVIP10F:503:2216,HERVIP10F:2525:5720,HERVIP10F:5620:7735,HERVIP10F:7587:7326,HERVIP10F:5311:5203,HERVIP10F:4436:4253,HERVIP10F:589:487,MER34C2:289:211,MER4E1:657:582,LTR1:384:54,MER48:176:59,ERV24_Prim:891:2217,ERV24_Prim:2400:5919,ERV24_Prim:6233:6128,ERV24_Prim:4956:4845,ERV24_Prim:369:303,MER39B:342:411,HUERS-P1:1097:1289,HUERS-P1:6036:6243,HUERS-P1:6152:6011,HERV19I:269:500,HERV19I:589:724,HERV19I:3375:3465,HERV19I:4203:4296,HERV19I:5153:5192,HERV19I:5188:4987,HERV19I:4205:4142,HERVH48I:1485:1605,HERVH48I:3376:3481,HERVH48I:3926:6452,LTR19C:497:671,LTR39:55:109,MER51I:403:517,MER51I:1367:1421,HERV39:3512:3587,HERV39:3628:3709,HERV39:5882:5987,HERV39:8407:8611,HERV39:8622:9057,MER52A:84:1215,LTR1B1:440:92,HERV23:3710:3533,HERV23:759:681,HUERS-P3B:5504:5576,HUERS-P3B:6274:6433,HUERS-P3B:6891:7305,HUERS-P3B:5325:5235,HUERS-P3B:5191:5071,HUERS-P3B:734:665,HERV35I:5868:5829,HERV35I:3932:3884,HERV35I:1277:1181,HERV49I:4784:4937,HERV16:722:1400,HERV16:4628:4454,HERV16:406:1,MER4I:3919:4021,MER65D:193:277,LTR28B:154:253,ERV24B_Prim:893:2231,ERV24B_Prim:3637:3430,LTR2C:248:125,MER34B_I:1469:1538,MER66_I:5027:5372,MER66_I:5726:5540,MER66_I:463:115,LTR58:73:121,HUERS-P3:247:562,HUERS-P3:671:962,HUERS-P3:6059:6374,HUERS-P3:8648:8810,HUERS-P3:7161:7062,HUERS-P3:5998:5926,MER84I:625:2326,MER84I:2512:2803,MER84I:4588:4720,LTR26E:320:581,MER83AI:497:662,MER83AI:1963:2179,MER83AI:2554:2668,MER83AI:2878:3424,MER83AI:3530:4019,MER83AI:3955:3844,MER83AI:3870:3783,MER83AI:1553:1373,HERVP71A_I:460:2014,HERVP71A_I:2230:5518,HERVP71A_I:5135:5198,HERVP71A_I:5564:7571,HERVP71A_I:6070:5872,HERVP71A_I:5510:5441,LTR27E:398:347,MER52D:2:827,MER52D:1991:1559,HERVFH19I:160:424,HERVFH19I:600:3447,HERVFH19I:871:1162,HERVFH19I:3344:3479,HERVFH19I:5176:5287,HERVFH19I:5536:5611,HERVFH19I:6000:7665,HERVFH19I:3784:3607,HERVFH19I:2482:2341,HERVFH19I:2290:2092,LTR65:125:2,MER52AI:1436:2906,MER52AI:4396:5623,MER52AI:6106:6520,MER52AI:6754:6964,MER52AI:3685:3532,LTR45B:72:30,LTR12E:541:100,LTR27B:540:414
Other	RPS2	RPS2:78:963,RPS2:493:595
SVA	SVA_B,SVA_C,SVA_D,SVA_E,SVA_F,SVA_A	SVA_B:1136:1355,SVA_C:71:188,SVA_C:1137:1356,SVA_D:71:188,SVA_D:895:979,SVA_D:1139:1358,SVA_D:996:882,SVA_E:71:188,SVA_E:891:1056,SVA_E:1168:1354,SVA_E:562:334,SVA_F:985:871,SVA_A:63:180,SVA_A:530:647,SVA_A:1156:1240,SVA_A:1400:1619
ERVL	LTR84a,HERVL68,ERV3-16A3_I,LTR32,MER70_I,LTR18C,HERVL_40,LTR84b,LTR47B,MLT2B3,HERVL66I,LTR79,LTR50,LTR82A,MLT2A1,MER70B,LTR75B,HERVL,ERVL-E,LTR53-int,MER88,MER70C,ERVL,MER74,MER68_I,LTR47B4,HERVL74,MER68B,LTR86A2,LTR47B3,LTR16E2,LTR86B1,MER70A,MER21I,LTR41B,MLT2B2,ERVL-B4,LTR16A,LTR16D1,MLT2F,MLT2A2,LTR18B	LTR84a:731:587,HERVL68:1401:1437,HERVL68:2724:2619,ERV3-16A3_I:2981:3152,ERV3-16A3_I:4970:4778,ERV3-16A3_I:3955:3703,ERV3-16A3_I:1748:1658,LTR32:52:1,MER70_I:38:197,MER70_I:467:629,MER70_I:1909:2473,MER70_I:2382:2469,MER70_I:3047:3434,MER70_I:4979:4916,MER70_I:4452:4203,MER70_I:879:777,LTR18C:236:344,LTR18C:341:248,HERVL_40:4232:4139,HERVL_40:3929:3854,LTR84b:735:558,LTR47B:199:442,LTR47B:226:151,MLT2B3:641:389,HERVL66I:1683:1764,HERVL66I:3215:4307,HERVL66I:2421:2211,HERVL66I:1669:1525,LTR79:162:201,LTR50:245:128,LTR82A:293:248,MLT2A1:253:364,MER70B:391:184,LTR75B:504:345,HERVL:710:1787,HERVL:1729:1783,HERVL:2204:5339,HERVL:712:373,HERVL:161:41,ERVL-E:133:1717,ERVL-E:2036:5264,ERVL-E:3996:4179,ERVL-E:4191:4293,LTR53-int:1618:1720,MER88:303:414,MER70C:203:365,ERVL:2243:3779,ERVL:3468:3702,ERVL:3883:3688,MER74:511:622,MER68_I:1958:1427,LTR47B4:94:130,HERVL74:172:289,HERVL74:1703:2030,HERVL74:2043:2109,HERVL74:2508:2982,HERVL74:3424:3820,HERVL74:3443:3569,HERVL74:3825:4491,HERVL74:2817:2451,HERVL74:2660:2405,MER68B:308:17,LTR86A2:363:429,LTR47B3:262:463,LTR16E2:298:355,LTR16E2:306:561,LTR16E2:356:53,LTR86B1:224:89,MER70A:391:184,MER21I:3390:3657,MER21I:4097:3929,MER21I:3461:3344,MER21I:2622:2529,LTR41B:351:510,MLT2B2:463:271,MLT2B2:249:120,ERVL-B4:2198:5333,ERVL-B4:3849:3933,ERVL-B4:3837:3642,LTR16A:10:283,LTR16D1:239:368,MLT2F:429:594,MLT2A2:4:100,MLT2A2:153:24,LTR18B:484:613
L1	HAL1,L1PB3,L1P_MA2,L1MCA_5,L1MA1,L1ME3F_3end,L1MA7,L1M3A_5,L1PA4,L1M2_5,L1PA2,L1M1B_5,L1MA9_5,L1PA7,L1MC2,HAL1M8,L1P4a_5end,L1PA10,L1M1_5,L1ME3D_3end,L1MEB_5,L1PA16_5,L1M2A1_5,L1ME3A,L1ME3C_3end,L1HS,L1MC1,L1PREC2,HAL1B,L1PA16,L1PA3,L1P4d_5end,L1PB2c,L1PA6,L1MA10,L1PB2,L1ME_ORF2,L1MB7,L1PA8,L1MEg_5end,L1PA11,L1MB4_5,L1MC3,L1MC5,L1ME4A,L1MEA_5,L1M7_5end,L1MA3,L1PA5,L1M3DE_5,L1,L1MB6_5,L1MC4_5end,L1PA13_5,L1M6_5end,L1PA12,L1MED_5,L1MA2,L1MB8,L1PREC1,L1M2A_5,L1M3C_5,L1ME3E_3end,L1MA6,L1PBA_5,L1MDB_5,L1MEe_5end,L1MDA_5,L1MB4,L1MA5,L1M2C_5,L1MA5A,L1PA15,L1M4B	HAL1:1404:804,L1PB3:687:879,L1P_MA2:7168:6700,L1P_MA2:216:75,L1MCA_5:887:779,L1MCA_5:61:22,L1MA1:93:3,L1ME3F_3end:595:448,L1ME3F_3end:206:2,L1MA7:824:878,L1M3A_5:582:678,L1M3A_5:1357:1618,L1M3A_5:1762:1870,L1M3A_5:903:804,L1M3A_5:597:537,L1PA4:501:681,L1PA4:377:308,L1M2_5:1394:632,L1PA2:501:681,L1PA2:865:721,L1PA2:377:308,L1M1B_5:817:1261,L1M1B_5:1112:1031,L1MA9_5:1029:1962,L1MA9_5:1646:1484,L1MA9_5:1525:1072,L1PA7:129:681,L1MC2:961:1060,L1MC2:851:551,L1MC2:158:2,HAL1M8:2604:2838,HAL1M8:2834:2921,HAL1M8:1635:1551,L1P4a_5end:1303:1840,L1P4a_5end:1524:1377,L1P4a_5end:1064:290,L1PA10:441:681,L1M1_5:235:94,L1ME3D_3end:594:447,L1MEB_5:426:246,L1PA16_5:410:485,L1M2A1_5:1030:526,L1M2A1_5:517:97,L1ME3A:701:743,L1ME3C_3end:203:2,L1HS:907:1921,L1HS:3966:4143,L1HS:5632:5812,L1HS:5508:5439,L1HS:2526:2331,L1HS:452:239,L1HS:190:1,L1MC1:847:697,L1MC1:158:2,L1PREC2:531:603,L1PREC2:3010:4021,L1PREC2:4093:7918,L1PREC2:6486:6531,L1PREC2:6835:6724,L1PREC2:5325:5163,L1PREC2:2520:2364,L1PREC2:122:32,HAL1B:561:642,L1PA16:81:681,L1PA16:137:221,L1PA3:137:206,L1PA3:501:681,L1PA3:865:721,L1PA3:377:308,L1P4d_5end:1932:1848,L1PB2c:2534:6383,L1PB2c:5227:5347,L1PB2c:2081:1883,L1PA6:522:681,L1PA6:195:150,L1MA10:595:490,L1PB2:81:681,L1ME_ORF2:1279:2287,L1ME_ORF2:3266:2846,L1ME_ORF2:2407:2281,L1MB7:415:340,L1PA8:129:681,L1MEg_5end:1773:1875,L1PA11:684:777,L1MB4_5:1141:1021,L1MB4_5:278:2,L1MC3:595:463,L1MC3:158:2,L1MC5:1590:1659,L1MC5:254:194,L1ME4A:774:834,L1MEA_5:610:442,L1MEA_5:426:246,L1M7_5end:614:665,L1M7_5end:1742:1835,L1MA3:93:3,L1PA5:501:681,L1M3DE_5:1561:2083,L1:1704:2043,L1:3292:3376,L1:4088:4214,L1:4769:4859,L1:3722:3638,L1:3580:3538,L1:2648:2423,L1MB6_5:1042:1342,L1MC4_5end:2438:2315,L1PA13_5:1258:1507,L1M6_5end:892:1054,L1M6_5end:1117:1849,L1M6_5end:2388:2238,L1M6_5end:1416:984,L1PA12:684:777,L1MED_5:939:789,L1MA2:93:3,L1MB8:415:340,L1PREC1:948:1116,L1PREC1:1444:2353,L1PREC1:2615:6245,L1PREC1:3603:3687,L1PREC1:5248:5155,L1M2A_5:1715:1439,L1M3C_5:1237:1189,L1M3C_5:227:11,L1ME3E_3end:594:447,L1MA6:595:490,L1PBA_5:2386:2260,L1PBA_5:251:101,L1MDB_5:1388:1289,L1MEe_5end:637:784,L1MDA_5:1047:1227,L1MDA_5:1360:1504,L1MDA_5:2293:2656,L1MB4:114:672,L1MB4:614:551,L1MA5:1009:796,L1MA5:595:490,L1M2C_5:1480:1600,L1M2C_5:3505:3631,L1M2C_5:2620:2575,L1MA5A:974:875,L1MA5A:595:490,L1PA15:81:681,L1M4B:2932:2656,L1M4B:610:457
hAT-Charlie	Charlie25,Charlie24,CHARLIE6,CHESHIRE,CHARLIE2A,Charlie12,CHARLIE10,MER103C,CHARLIE1A,CHARLIE1,Charlie11,Charlie13a,MER113,MER30B,MER106B,CHARLIE3,CHARLIE9,MER119,Charlie17a,CHARLIE7,MER1A	Charlie25:383:2363,Charlie25:1641:1728,Charlie24:345:2151,Charlie24:544:691,CHARLIE6:624:2493,CHARLIE6:3331:3169,CHARLIE6:1568:1367,CHARLIE6:1229:1097,CHESHIRE:1096:1138,CHARLIE2A:1584:2244,CHARLIE2A:822:774,Charlie12:1268:1361,Charlie12:2545:2695,Charlie12:2701:2872,CHARLIE10:339:264,MER103C:159:267,CHARLIE1A:1169:845,CHARLIE1A:792:645,CHARLIE1:2475:2151,CHARLIE1:2098:1951,Charlie11:218:1991,Charlie11:1830:1704,Charlie11:1650:1494,Charlie13a:168:1032,MER113:325:373,MER30B:169:1,MER106B:302:170,CHARLIE3:648:2523,CHARLIE3:2480:2708,CHARLIE3:2471:2372,CHARLIE3:2176:1966,CHARLIE3:2018:1916,CHARLIE3:916:796,CHARLIE9:2239:1669,MER119:184:346,Charlie17a:27:129,CHARLIE7:688:2344,CHARLIE7:1908:1743,MER1A:297:525
ERVL-MaLR	MLT1F_I,MLT1J-int,MSTA2,THE1A,MST_I,THE1_I,MLT1C2,MLT1O,THE1B,MLT1A1,MLT1G3,MLT1J,MSTA,THE1D,MLT1H_I,MLT1_I,MLT1C,MLT1C1,THE1C	MLT1F_I:18:354,MLT1J-int:48:552,MLT1J-int:562:499,MSTA2:318:432,THE1A:246:348,MST_I:47:1466,MST_I:1416:1545,THE1_I:48:1398,THE1_I:160:277,THE1_I:556:1033,THE1_I:1196:1121,MLT1C2:245:122,MLT1O:169:1,THE1B:248:308,MLT1A1:232:340,MLT1G3:481:340,MLT1J:326:203,MSTA:268:373,THE1D:257:326,THE1D:289:355,MLT1H_I:783:645,MLT1_I:47:1151,MLT1C:153:399,MLT1C1:281:392,THE1C:250:286
TcMar-Tigger	MER44D,Tigger12,MER44C,Tigger15a,Tigger10,Tigger16a,Tigger13a,TIGGER7,TIGGER1,TIGGER2,TIGGER6B	MER44D:78:255,Tigger12:281:1271,MER44C:319:496,Tigger15a:125:32,Tigger10:170:1841,Tigger10:851:716,Tigger16a:431:713,Tigger13a:106:244,Tigger13a:278:626,TIGGER7:319:2128,TIGGER7:2043:1815,TIGGER1:424:1786,TIGGER1:1656:1479,TIGGER2:602:2483,TIGGER2:1891:1747,TIGGER6B:1556:1481
LTR	PTR5,X2_LR,MamRep1527,LTR90A	PTR5:81:399,X2_LR:18:177,MamRep1527:440:26,LTR90A:552:720
