element	frame	el_class	el_family
HERVL68	HERVL68:1401:1437,HERVL68:2724:2619	LTR	ERVL
HERVP71A_I	HERVP71A_I:460:2014,HERVP71A_I:5135:5198,HERVP71A_I:6070:5872,HERVP71A_I:2230:5518,HERVP71A_I:5564:7571,HERVP71A_I:5510:5441	LTR	ERV1
MER66_I	MER66_I:5027:5372,MER66_I:5726:5540,MER66_I:463:115	LTR	ERV1
LTR84b	LTR84b:735:558	LTR	ERVL
MLT1O	MLT1O:169:1	LTR	ERVL-MaLR
HERVK13I	HERVK13I:5513:5366,HERVK13I:3563:4328,HERVK13I:6078:5955,HERVK13I:1911:1734,HERVK13I:1144:1366,HERVK13I:5073:5001	LTR	ERVK
HERVKC4	HERVKC4:2048:2144,HERVKC4:4173:4086,HERVKC4:2112:1953	LTR	ERVK
MER57A_I	MER57A_I:4420:4579,MER57A_I:2020:1900,MER57A_I:3959:4268,MER57A_I:5007:5385,MER57A_I:3243:3309,MER57A_I:4362:4224	LTR	ERV1
L1	L1:4769:4859,L1:3792:3633,L1:3724:3847,L1:4718:4577,L1:3016:3058,L1:3292:3376,L1:2648:2423,L1:1537:1594,L1:2305:2338,L1:2686:2593,L1:4652:4727,L1:3722:3638,L1:3907:3949,L1:4559:4463,L1:4088:4214,L1:5401:5317,L1:4118:4010,L1:3529:3586,L1:607:667,L1:1704:2043,L1:2075:1622,L1:3580:3538,L1:5272:5335,L1:2282:2345,L1:3187:3238,L1:3773:3638,L1:1029:2043,L1:2265:2220,L1:4370:4175,L1:4910:4940,L1:1475:1520,L1:5213:5243,L1:4502:4577,L1:965:827	LINE	L1
HERV19I	HERV19I:269:500,HERV19I:4205:4142,HERV19I:589:724,HERV19I:5153:5192,HERV19I:4203:4296,HERV19I:5188:4987,HERV19I:3375:3465	LTR	ERV1
X26_DNA	X26_DNA:396:531,X26_DNA:326:209	DNA	TcMar-Mariner
MLT1F	MLT1F:362:401	LTR	ERVL-MaLR
HERVH	HERVH:1538:1652,HERVH:1784:1718,HERVH:1807:1954,HERVH:6642:6573,HERVH:2837:2939,HERVH:365:164,HERVH:88:247,HERVH:4534:4630,HERVH:3374:3236,HERVH:1452:1497,HERVH:3834:3765,HERVH:302:164,HERVH:3282:3837,HERVH:4807:4681	LTR	ERV1
HARLEQUIN	HARLEQUIN:4806:5256,HARLEQUIN:5699:5780,HARLEQUIN:4187:4673,HARLEQUIN:1801:1675,HARLEQUIN:4832:4682	LTR	ERV1
L1PA4	L1PA4:254:296,L1PA4:501:681,L1PA4:593:791,L1PA4:148:64,L1PA4:19:82,L1PA4:820:871,L1PA4:697:781,L1PA4:377:308,L1PA4:687:762,L1PA4:137:206,L1PA4:221:113,L1PA4:195:150,L1PA4:719:551,L1PA4:81:681,L1PA4:827:878,L1PA4:313:223,L1PA4:783:840	LINE	L1
LTR10C	LTR10C:279:225	LTR	ERV1
L1HS	L1HS:3966:4143,L1HS:907:1921,L1HS:2526:2331,L1HS:3407:3464,L1HS:5241:5169,L1HS:4248:4107,L1HS:4596:4455,L1HS:2183:2216,L1HS:2160:2223,L1HS:5150:5213,L1HS:5326:5281,L1HS:2143:2098,L1HS:452:239,L1HS:4647:4737,L1HS:4437:4341,L1HS:5508:5439,L1HS:3651:3516,L1HS:1331:1364,L1HS:1987:5812,L1HS:1716:1500,L1HS:4788:4818,L1HS:3996:3888,L1HS:4187:4283,L1HS:5385:5427,L1HS:3170:3254,L1HS:190:1,L1HS:1353:1398,L1HS:1215:1275,L1HS:3458:3416,L1HS:1406:1472,L1HS:5268:5337,L1HS:5632:5812	LINE	L1
L1PA6	L1PA6:221:113,L1PA6:522:681,L1PA6:313:223,L1PA6:431:515,L1PA6:81:681,L1PA6:499:463,L1PA6:568:598,L1PA6:826:877,L1PA6:195:150,L1PA6:137:206,L1PA6:593:839,L1PA6:148:64	LINE	L1
L1PA11	L1PA11:81:681,L1PA11:195:150,L1PA11:684:777,L1PA11:839:806	LINE	L1
L1PA5	L1PA5:719:551,L1PA5:593:839,L1PA5:836:800,L1PA5:195:150,L1PA5:81:681,L1PA5:254:296,L1PA5:826:877,L1PA5:377:308,L1PA5:313:223,L1PA5:221:113,L1PA5:137:206,L1PA5:819:870,L1PA5:501:681	LINE	L1
